TransactionCode ,MediaSource ,Revenue ,Tax ,ShippingFee ,Refund ,Amount
ON800501508178401162,findprice.com.tw / referral,789,10,0,0,3
ON300351508191101360,feebee.com.tw / referral,765,10,0,0,1
ON900151508158901033,feebee.com.tw / referral,765,10,0,0,1
ON000111508184701231,m.facebook.com / referral,764,10,0,0,2
ON200951508183401315,m.facebook.com / referral,764,10,0,0,2
ON900241508191501349,facebook.com / referral,764,10,0,0,2
ON300181508162301073,findprice.com.tw / referral,760,10,0,0,1
ON000531508174101165,feebee.com.tw / referral,759,10,0,0,1
ON000541508190801379,findprice.com.tw / referral,740,10,0,0,1
ON700101508191201335,m.feebee.com.tw / referral,740,10,0,0,4
ON500341508166501089,findprice.com.tw / referral,705,10,0,0,1
ON700371508167601092,ask / organic,665,10,0,0,1
ON500071508184101227,BBS / forum,657,10,0,0,1
ON900721508199601397,m.feebee.com.tw / referral,654,10,0,0,3
ON800631508183801283,feebee.com.tw / referral,642,10,0,0,3
ON100711508192101396,feebee.com.tw / referral,640,10,0,0,5
ON300231508179901135,findprice.com.tw / referral,611,10,0,0,5
ON100311508173401143,m.facebook.com / referral,599,10,0,0,1
ON200351508163501090,feebee.com.tw / referral,593,10,0,0,1
ON500721508187001292,m.feebee.com.tw / referral,568,10,0,0,2
ON400201508174501132,m.findprice.com.tw / referral,560,10,60,0,2
ON800601508183901280,m.feebee.com.tw / referral,554,10,0,0,4
ON000201508181001240,google / organic,541,10,0,0,1
ON600941508189501314,facebook.com / referral,539,10,0,0,1
ON700281508158301046,facebook.com / referral,538,10,80,0,1
ON900121508151901030,facebook.com / referral,538,10,80,0,1
ON800251508195101350,feebee.com.tw / referral,537,10,0,0,3
ON500951508199501420,m.facebook.com / referral,530,10,80,0,1
ON200891508190201414,m.feebee.com.tw / referral,514,10,0,0,6
ON500041508150401022,m.feebee.com.tw / referral,511,10,0,0,7
ON500191508192901344,m.facebook.com / referral,506,10,0,0,1
ON600891508179601201,(direct) / (none),506,10,0,0,1
ON800081508152901026,m.facebook.com / referral,506,10,0,0,1
ON900381508194601363,m.facebook.com / referral,506,10,0,0,1
ON200531508187501273,m.feebee.com.tw / referral,469,10,80,0,3
ON100101508174301122,m.facebook.com / referral,462,10,80,0,1
ON500091508182401229,m.facebook.com / referral,462,10,80,0,1
ON700411508167101096,feebee.com.tw / referral,377,10,80,0,2
ON400531508163401108,findprice.com.tw / referral,338,10,0,0,1
ON100121508161901067,m.facebook.com / referral,335,10,90,0,1
ON900271508169601082,(direct) / (none),299,10,0,0,1
ON101051508179401217,feebee.com.tw / referral,296,10,0,0,1
ON100061508198001331,m.feebee.com.tw / referral,207,10,60,0,1
ON900951508176901207,findprice.com.tw / referral,155,10,60,0,1
ON200451508195701370,m.feebee.com.tw / referral,98,10,60,0,1
