"TransactionCode","MediaSource","Revenue","Tax","ShippingFee","Refund","Amount"
"ON500991508182801319","m.facebook.com / referral",858,10,80,0,2
"ON600391508179701151","findprice.com.tw / referral",855,10,0,0,1
"ON800501508178401162","findprice.com.tw / referral",789,10,0,0,3
"ON300351508191101360","feebee.com.tw / referral",765,10,0,0,1
"ON900151508158901033","feebee.com.tw / referral",765,10,0,0,1
"ON000111508184701231","m.facebook.com / referral",764,10,0,0,2
"ON200951508183401315","m.facebook.com / referral",764,10,0,0,2
"ON900241508191501349","facebook.com / referral",764,10,0,0,2
"ON300181508162301073","findprice.com.tw / referral",760,10,0,0,1
"ON000531508174101165","feebee.com.tw / referral",759,10,0,0,1
"ON000541508190801379","findprice.com.tw / referral",740,10,0,0,1
"ON700101508191201335","m.feebee.com.tw / referral",740,10,0,0,4
"ON500341508166501089","findprice.com.tw / referral",705,10,0,0,1
"ON700371508167601092","ask / organic",665,10,0,0,1
"ON500071508184101227","BBS / forum",657,10,0,0,1
"ON900721508199601397","m.feebee.com.tw / referral",654,10,0,0,3
"ON800631508183801283","feebee.com.tw / referral",642,10,0,0,3
"ON100711508192101396","feebee.com.tw / referral",640,10,0,0,5
"ON300231508179901135","findprice.com.tw / referral",611,10,0,0,5
"ON100311508173401143","m.facebook.com / referral",599,10,0,0,1
"ON200351508163501090","feebee.com.tw / referral",593,10,0,0,1
"ON500721508187001292","m.feebee.com.tw / referral",568,10,0,0,2
"ON400201508174501132","m.findprice.com.tw / referral",560,10,60,0,2
"ON800601508183901280","m.feebee.com.tw / referral",554,10,0,0,4
"ON000201508181001240","google / organic",541,10,0,0,1
"ON600941508189501314","facebook.com / referral",539,10,0,0,1
"ON700281508158301046","facebook.com / referral",538,10,80,0,1
"ON900121508151901030","facebook.com / referral",538,10,80,0,1
"ON800251508195101350","feebee.com.tw / referral",537,10,0,0,3
"ON500951508199501420","m.facebook.com / referral",530,10,80,0,1
"ON200891508190201414","m.feebee.com.tw / referral",514,10,0,0,6
"ON500041508150401022","m.feebee.com.tw / referral",511,10,0,0,7
"ON500191508192901344","m.facebook.com / referral",506,10,0,0,1
"ON600891508179601201","(direct) / (none)",506,10,0,0,1
"ON800081508152901026","m.facebook.com / referral",506,10,0,0,1
"ON900381508194601363","m.facebook.com / referral",506,10,0,0,1
"ON200531508187501273","m.feebee.com.tw / referral",469,10,80,0,3
"ON100101508174301122","m.facebook.com / referral",462,10,80,0,1
"ON500091508182401229","m.facebook.com / referral",462,10,80,0,1
"ON700411508167101096","feebee.com.tw / referral",377,10,80,0,2
"ON400531508163401108","findprice.com.tw / referral",338,10,0,0,1
"ON100121508161901067","m.facebook.com / referral",335,10,90,0,1
"ON900271508169601082","(direct) / (none)",299,10,0,0,1
"ON101051508179401217","feebee.com.tw / referral",296,10,0,0,1
"ON100061508198001331","m.feebee.com.tw / referral",207,10,60,0,1
"ON900951508176901207","findprice.com.tw / referral",155,10,60,0,1
"ON200451508195701370","m.feebee.com.tw / referral",98,10,60,0,1
"ON400831508213301597","m.feebee.com.tw / referral",8200,10,100,0,6
"ON300341508243501760","feebee.com.tw / referral",7980,10,0,0,2
"ON200781508236601724","findprice.com.tw / referral",7399,10,0,0,1
"ON500761508234301722","nccnet-ec.nccc.com.tw / referral",7188,10,0,0,1
"ON800511508238101697","(direct) / (none)",7188,10,0,0,1
"ON300331508219901547","facebook.com / referral",6490,10,0,0,1
"ON400251508207001448","findprice.com.tw / referral",6490,10,0,0,1
"ON500651508212301579","feebee.com.tw / referral",6300,10,0,0,1
"ON400231508208001446","findprice.com.tw / referral",6190,10,0,0,1
"ON500731508207101496","findprice.com.tw / referral",5950,10,0,0,1
"ON500711508203901494","findprice.com.tw / referral",4050,10,0,0,3
"ON200461508240501772","google / organic",3990,10,0,0,1
"ON300451508249201771","acq.esunbank.com.tw / referral",3990,10,0,0,1
"ON700181508214701532","(direct) / (none)",3990,10,0,0,1
"ON900471508241701773","acq.esunbank.com.tw / referral",3990,10,0,0,1
"ON900141508249501740","m.feebee.com.tw / referral",3532,20,0,0,4
"ON300011508214701515","m.facebook.com / referral",3344,10,0,0,1
"ON700471508230901693","(direct) / (none)",3158,10,0,0,1
"ON400341508218001548","findprice.com.tw / referral",3016,10,0,0,2
"ON100581508200101481","feebee.com.tw / referral",2985,10,0,0,15
"ON000211508242801747","feebee.com.tw / referral",2940,10,0,0,2
"ON300221508205401445","m.findprice.com.tw / referral",2838,10,0,0,2
"ON400101508207401433","feebee.com.tw / referral",2799,10,0,0,3
"ON800621508236101708","findprice.com.tw / referral",2760,10,0,0,1
"ON400431508206201466","feebee.com.tw / referral",2739,10,0,0,2
"ON700701508246001796","findprice.com.tw / referral",2700,10,0,0,3
"ON200721508241501798","feebee.com.tw / referral",2686,10,0,0,2
"ON400651508233601711","m.feebee.com.tw / referral",2498,10,0,0,1
"ON700571508211101571","findprice.com.tw / referral",2400,10,0,0,5
"ON600051508219601519","m.feebee.com.tw / referral",2349,10,0,0,1
"ON700551508239101701","(direct) / (none)",1980,10,0,0,2
"ON500041508235601650","findprice.com.tw / referral",1958,10,0,0,2
"ON900371508231201683","m.feebee.com.tw / referral",1949,10,0,0,1
"ON700051508223101604","facebook.com / referral",1920,10,0,0,2
"ON800701508219301584","feebee.com.tw / referral",1899,10,0,0,1
"ON100051508249001731","feebee.com.tw / referral",1898,10,0,0,2
"ON300911508207301514","(direct) / (none)",1890,10,0,0,1
"ON200091508224501608","(direct) / (none)",1861,10,0,0,1
"ON100071508223701606","findprice.com.tw / referral",1790,10,0,0,1
"ON600241508200501447","google / organic",1750,10,0,0,5
"ON000741508244701800","m.facebook.com / referral",1680,10,0,0,1
"ON700171508233901663","m.feebee.com.tw / referral",1672,20,0,0,8
"ON200371508243801763","feebee.com.tw / referral",1664,10,400,0,1
"ON900771508204001500","m.feebee.com.tw / referral",1663,10,0,0,1
"ON800301508209601453","feebee.com.tw / referral",1659,10,0,0,3
"ON900591508216101573","findprice.com.tw / referral",1620,10,0,0,3
"ON900451508210701559","m.findprice.com.tw / referral",1615,10,0,0,1
"ON500781508207801501","m.feebee.com.tw / referral",1536,10,0,0,3
"ON400691508207601492","findprice.com.tw / referral",1480,10,0,0,2
"ON000871508203801510","feebee.com.tw / referral",1452,10,0,0,22
"ON500521508202601475","findprice.com.tw / referral",1440,10,0,0,3
"ON100751508238501721","(direct) / (none)",1419,10,0,0,1
"ON900071508209701430","(direct) / (none)",1419,10,0,0,1
"ON300061508234101652","Babyhome / forum",1410,10,0,0,2
"ON000391508235401685","(direct) / (none)",1380,10,0,0,1
"ON400801508212001594","m.facebook.com / referral",1380,10,0,0,1
"ON900321508231201678","facebook.com / referral",1360,10,0,0,2
"ON700211508228401620","feebee.com.tw / referral",1309,10,0,0,7
"ON700831508200501506","feebee.com.tw / referral",1280,10,0,0,1
"ON400341508203001457","findprice.com.tw / referral",1200,10,0,0,1
"ON100301508241101756","feebee.com.tw / referral",1198,10,0,0,2
"ON000291508242801755","m.findprice.com.tw / referral",1197,10,0,0,3
"ON600231508222901622","m.facebook.com / referral",1190,10,0,0,2
"ON900011508220101600","nccnet-ec.nccc.com.tw / referral",1176,10,0,0,6
"ON300141508224001613","m.findprice.com.tw / referral",1090,10,100,0,1
"ON300711508242001797","(direct) / (none)",1088,10,0,0,1
"ON500381508215901552","(direct) / (none)",1077,10,0,0,1
"ON400301508215201544","m.feebee.com.tw / referral",1070,10,0,0,5
"ON300541508217601568","feebee.com.tw / referral",1056,10,0,0,8
"ON100441508235201690","m.feebee.com.tw / referral",1035,10,0,0,15
"ON500791508206501502","Goiiz fans / FB",1012,10,0,0,2
"ON900041508212501518","BBS / forum",998,10,0,0,2
"ON500291508224701628","(direct) / (none)",990,10,0,0,1
"ON000511508249201777","m.feebee.com.tw / referral",970,10,0,0,1
"ON900721508234601718","m.feebee.com.tw / referral",960,10,0,0,2
"ON800111508243401737","(direct) / (none)",952,10,70,0,1
"ON100511508202801474","feebee.com.tw / referral",949,10,0,0,1
"ON600391508226101638","(direct) / (none)",949,10,0,0,1
"ON800671508203701490","feebee.com.tw / referral",896,10,0,0,4
"ON200381508243401764","m.feebee.com.tw / referral",883,10,0,0,1
"ON500481508235101694","(direct) / (none)",883,10,0,0,1
"ON900231508242601749","(direct) / (none)",855,10,0,0,1
"ON300091508208501432","feebee.com.tw / referral",854,10,0,0,2
"ON600731508244401799","m.feebee.com.tw / referral",852,10,0,0,3
"ON600681508249701794","feebee.com.tw / referral",844,10,0,0,2
"ON700561508235001702","yahoo / organic",835,10,0,0,3
"ON800321508211801546","(direct) / (none)",788,20,180,0,4
"ON000421508237301688","yahoo / organic",764,10,0,0,2
"ON900241508237901670","feebee.com.tw / referral",764,10,0,0,1
"ON900611508238201707","facebook.com / referral",764,10,0,0,2
"ON300401508202001463","findprice.com.tw / referral",756,10,0,0,6
"ON900291508207401452","m.feebee.com.tw / referral",746,10,0,0,1
"ON700751508211701589","m.feebee.com.tw / referral",718,10,0,0,2
"ON900341508229401633","feebee.com.tw / referral",705,10,0,0,3
"ON800331508230101679","findprice.com.tw / referral",699,10,0,0,3
"ON000641508241201790","(direct) / (none)",690,10,0,0,1
"ON500351508212401549","google / organic",690,10,0,0,1
"ON700401508237401686","(direct) / (none)",690,10,0,0,1
"ON900771508230301723","m.facebook.com / referral",690,10,0,0,1
"ON800421508229401641","feebee.com.tw / referral",680,10,0,0,4
"ON900121508218101526","findprice.com.tw / referral",671,10,0,0,1
"ON100171508245501743","m.findprice.com.tw / referral",667,10,0,0,5
"ON800221508228001621","m.feebee.com.tw / referral",640,10,0,0,5
"ON000451508234801691","m.findprice.com.tw / referral",618,10,0,0,2
"ON700791508210001593","feebee.com.tw / referral",608,10,0,0,4
"ON000351508249701761","m.feebee.com.tw / referral",597,10,0,0,3
"ON900521508240201778","feebee.com.tw / referral",597,10,0,0,3
"ON000631508204201486","yahoo / organic",595,10,0,0,1
"ON200331508245101759","findprice.com.tw / referral",570,10,0,0,3
"ON000421508218701556","m.feebee.com.tw / referral",568,10,0,0,2
"ON100151508248701741","findprice.com.tw / referral",568,10,0,0,2
"ON200011508202301424","m.feebee.com.tw / referral",568,10,0,0,2
"ON900721508204501495","feebee.com.tw / referral",568,10,0,0,2
"ON700131508211701527","findprice.com.tw / referral",540,10,0,0,1
"ON800191508243701745","Babyhome / forum",540,10,0,0,1
"ON800741508234901720","BBS / forum",540,10,0,0,1
"ON000271508240001753","(direct) / (none)",538,10,80,0,1
"ON500071508244001733","facebook.com / referral",538,10,80,0,1
"ON500591508205201482","facebook.com / referral",538,10,80,0,1
"ON600261508235701672","m.facebook.com / referral",530,10,80,0,1
"ON700801508209701503","m.facebook.com / referral",530,10,80,0,1
"ON300121508224901611","m.feebee.com.tw / referral",528,10,0,0,8
"ON100441508200601467","m.feebee.com.tw / referral",512,10,0,0,4
"ON500061508219901520","Digwow / forum",506,10,0,0,1
"ON500631508239201709","findprice.com.tw / referral",499,10,0,0,1
"ON000031508222001602","findprice.com.tw / referral",498,10,0,0,2
"ON900401508241401766","m.findprice.com.tw / referral",480,10,0,0,1
"ON100461508224101645","m.facebook.com / referral",462,10,80,0,1
"ON200271508207701450","m.facebook.com / referral",462,10,80,0,1
"ON300261508248501752","feebee.com.tw / referral",462,10,80,0,1
"ON900251508243301751","feebee.com.tw / referral",439,10,80,0,1
"ON700891508204601512","feebee.com.tw / referral",435,10,90,0,3
"ON100021508208401425","findprice.com.tw / referral",420,10,60,0,2
"ON300631508247401789","google / organic",386,10,80,0,1
"ON000101508224101609","m.feebee.com.tw / referral",349,10,0,0,1
"ON700551508200201478","BBS / forum",338,10,0,0,1
"ON500641508208701487","feebee.com.tw / referral",298,10,90,0,2
"ON000491508239301695","findprice.com.tw / referral",270,10,90,0,1
"ON100361508222101635","feebee.com.tw / referral",240,10,60,0,1
"ON700211508202501444","facebook.com / referral",230,10,60,0,1
"ON700281508220301627","feebee.com.tw / referral",188,10,0,0,1
"ON300621508206601485","feebee.com.tw / referral",79,10,0,0,1
